course,partner,skills,certificatetype,level,rating
Cloud & AWS Specialization,Microsoft,"devops, aws, ec2",Course,advanced,4.0
Cybersecurity in Practice,Microsoft,"pentesting, firewall, networking",Course,advanced,4.3
Web Development Masterclass,Meta,"node, react, javascript",Course,intermediate,4.6
Cybersecurity Essentials,Google,"pentesting, firewall, networking",Course,intermediate,4.3
Cybersecurity Fundamentals,DeepLearning.AI,"security, cryptography, firewall",Course,advanced,4.8
Cybersecurity in Practice,AWS,"pentesting, firewall, networking",Course,intermediate,4.9
Web Development in Practice,DeepLearning.AI,"javascript, react, typescript",Course,intermediate,4.1
Data & SQL Specialization,Stanford,"analytics, sql, pandas",Course,advanced,4.9
Cybersecurity Specialization,DeepLearning.AI,"security, networking, cryptography",Course,advanced,4.5
Data & SQL Essentials,Coursera,"sql, databases, analytics",Course,beginner,4.5
Web Development Masterclass,Coursera,"html, react, frontend",Course,advanced,4.8
Machine Learning Masterclass,Coursera,"classification, regression, machine learning",Course,intermediate,4.6
Data Visualization Fundamentals,Google,"matplotlib, dashboards, visualization",Course,intermediate,4.4
Cloud & AWS Essentials,IBM,"devops, lambda, docker",Course,beginner,4.9
Deep Learning Masterclass,Stanford,"transformers, tensorflow, cnn",Course,beginner,4.5
Data & SQL Masterclass,Coursera,"sql, databases, analytics",Course,beginner,4.5
Data Visualization Fundamentals,IBM,"dashboards, matplotlib, visualization",Course,intermediate,4.1
Deep Learning Essentials,DeepLearning.AI,"deep learning, neural networks, pytorch",Course,beginner,4.1
Python Programming for Everyone,Google,"automation, python, oop",Course,intermediate,4.1
Data Visualization Bootcamp,Meta,"dashboards, visualization, plotly",Course,intermediate,4.7
Deep Learning Masterclass,Google,"pytorch, transformers, deep learning",Course,beginner,4.6
Data & SQL Bootcamp,DeepLearning.AI,"databases, sql, data analysis",Course,advanced,4.2
Deep Learning Bootcamp,IBM,"transformers, neural networks, deep learning",Course,beginner,4.4
Web Development Specialization,Meta,"javascript, node, html",Course,advanced,4.3
Cybersecurity Bootcamp,AWS,"cryptography, networking, firewall",Course,advanced,4.6
Cybersecurity Masterclass,DeepLearning.AI,"networking, cryptography, firewall",Course,beginner,4.6
Data & SQL Deep Dive,Google,"etl, databases, pandas",Course,advanced,4.5
Machine Learning for Everyone,AWS,"classification, machine learning, regression",Course,advanced,4.1
Cybersecurity Fundamentals,Stanford,"cryptography, security, networking",Course,intermediate,4.8
Python Programming Masterclass,AWS,"python, programming, oop",Course,intermediate,4.4
Deep Learning in Practice,Coursera,"deep learning, tensorflow, transformers",Course,advanced,4.1
Machine Learning Bootcamp,Meta,"scikit-learn, machine learning, feature engineering",Course,intermediate,4.6
Machine Learning Deep Dive,Google,"machine learning, classification, scikit-learn",Course,advanced,4.5
Cloud & AWS for Everyone,DeepLearning.AI,"ec2, kubernetes, cloud",Course,intermediate,4.1
Cybersecurity Fundamentals,DeepLearning.AI,"security, networking, cryptography",Course,intermediate,4.3
Cloud & AWS Bootcamp,DeepLearning.AI,"lambda, devops, ec2",Course,intermediate,4.5
Web Development Bootcamp,Coursera,"frontend, css, typescript",Course,intermediate,4.2
Data Visualization for Everyone,AWS,"plotly, dashboards, matplotlib",Course,beginner,4.7
Data Visualization Fundamentals,AWS,"visualization, matplotlib, dashboards",Course,beginner,4.9
Deep Learning Fundamentals,DeepLearning.AI,"cnn, tensorflow, pytorch",Course,advanced,4.8
Data Visualization Bootcamp,Microsoft,"plotly, visualization, dashboards",Course,advanced,4.6
Cloud & AWS Essentials,Coursera,"s3, aws, cloud",Course,beginner,4.2
Data Visualization Masterclass,AWS,"charts, dashboards, plotly",Course,intermediate,4.4
Cybersecurity Specialization,Coursera,"cryptography, networking, security",Course,intermediate,4.2
Web Development Bootcamp,Microsoft,"node, css, typescript",Course,beginner,4.8
Python Programming for Everyone,Coursera,"python, programming, scripting",Course,advanced,4.1
Data Visualization for Everyone,Stanford,"visualization, plotly, charts",Course,beginner,4.4
Machine Learning Bootcamp,DeepLearning.AI,"regression, feature engineering, scikit-learn",Course,intermediate,4.5
Deep Learning Specialization,Google,"transformers, tensorflow, cnn",Course,advanced,4.0
Python Programming Specialization,Meta,"oop, python, scripting",Course,advanced,4.3
Python Programming in Practice,Stanford,"oop, scripting, python",Course,intermediate,4.6
Machine Learning Masterclass,IBM,"classification, machine learning, feature engineering",Course,beginner,4.5
Data Visualization Specialization,AWS,"charts, visualization, dashboards",Course,intermediate,4.7
Python Programming Essentials,Microsoft,"oop, python, scripting",Course,intermediate,4.6
Web Development Fundamentals,Meta,"react, html, css",Course,beginner,4.3
Cybersecurity Specialization,IBM,"pentesting, security, networking",Course,advanced,4.9
Web Development Bootcamp,Google,"react, typescript, frontend",Course,intermediate,4.9
Cloud & AWS Essentials,Coursera,"ec2, s3, aws",Course,advanced,4.1
Cloud & AWS Masterclass,Microsoft,"devops, cloud, ec2",Course,beginner,4.7
