course,partner,skills,certificatetype,level,rating
Data Analytics Specialization,IBM,"excel, sql, data visualization, tableau",Data Analysis,Beginner,4.2
Data Analytics Specialization,University of Michigan,"pandas, excel, power bi, statistics",Data Analysis,Intermediate,4.7
Data Analytics Specialization,University of Colorado,"statistics, pandas, sql, power bi",Data Analysis,Advanced,4.9
SQL for Analysts Professional Certificate,Meta,"excel, pandas, reporting, sql",Data Analysis,Beginner,4.5
SQL for Analysts Course,IBM,"pandas, tableau, data visualization, statistics",Data Analysis,Intermediate,4.4
SQL for Analysts Course,University of Colorado,"tableau, reporting, excel, data visualization",Data Analysis,Advanced,4.3
Business Intelligence Professional Certificate,DeepLearning.AI,"tableau, pandas, data visualization, power bi",Data Analysis,Beginner,4.4
Business Intelligence Specialization,University of Colorado,"tableau, power bi, sql, reporting",Data Analysis,Intermediate,4.5
Business Intelligence Specialization,University of Michigan,"reporting, sql, pandas, tableau",Data Analysis,Advanced,4.1
Data Visualization Professional Certificate,University of Michigan,"pandas, excel, statistics, reporting",Data Analysis,Beginner,4.9
Data Visualization Specialization,IBM,"sql, reporting, data visualization, pandas",Data Analysis,Intermediate,4.8
Data Visualization Specialization,DeepLearning.AI,"reporting, pandas, power bi, excel",Data Analysis,Advanced,4.6
Spreadsheet Analytics Professional Certificate,Google,"power bi, excel, statistics, reporting",Data Analysis,Beginner,4.2
Spreadsheet Analytics Specialization,Imperial College London,"power bi, excel, reporting, data visualization",Data Analysis,Intermediate,4.8
Spreadsheet Analytics Course,Stanford University,"tableau, excel, reporting, pandas",Data Analysis,Advanced,4.7
Data Engineering Course,DeepLearning.AI,"airflow, dbt, sql, etl",Data Engineering,Beginner,4.3
Data Engineering Professional Certificate,Imperial College London,"data warehouse, etl, airflow, kafka",Data Engineering,Intermediate,4.8
Data Engineering Course,Imperial College London,"etl, kafka, snowflake, airflow",Data Engineering,Advanced,4.7
Big Data with Spark Specialization,Duke University,"data warehouse, kafka, sql, airflow",Data Engineering,Beginner,4.6
Big Data with Spark Course,Google,"dbt, snowflake, airflow, kafka",Data Engineering,Intermediate,4.5
Big Data with Spark Professional Certificate,Stanford University,"kafka, spark, sql, dbt",Data Engineering,Advanced,4.3
Building Data Pipelines Course,Meta,"spark, airflow, dbt, kafka",Data Engineering,Beginner,4.8
Building Data Pipelines Professional Certificate,Meta,"etl, airflow, spark, snowflake",Data Engineering,Intermediate,4.3
Building Data Pipelines Course,Duke University,"spark, sql, data warehouse, etl",Data Engineering,Advanced,4.7
Data Warehousing Course,Duke University,"dbt, etl, spark, kafka",Data Engineering,Beginner,4.8
Data Warehousing Professional Certificate,University of Michigan,"data warehouse, etl, sql, spark",Data Engineering,Intermediate,4.3
Data Warehousing Specialization,IBM,"airflow, snowflake, sql, kafka",Data Engineering,Advanced,4.2
Streaming with Kafka Course,Google,"airflow, snowflake, etl, sql",Data Engineering,Beginner,4.5
Streaming with Kafka Professional Certificate,Imperial College London,"sql, airflow, dbt, etl",Data Engineering,Intermediate,4.7
Streaming with Kafka Course,Google,"kafka, airflow, snowflake, etl",Data Engineering,Advanced,4.3
Machine Learning Professional Certificate,Meta,"pytorch, python, tensorflow, deep learning",Machine Learning,Beginner,4.5
Machine Learning Course,Meta,"scikit-learn, deep learning, model deployment, python",Machine Learning,Intermediate,4.6
Machine Learning Professional Certificate,Meta,"tensorflow, feature engineering, pytorch, model deployment",Machine Learning,Advanced,4.8
Deep Learning Specialization,IBM,"feature engineering, python, deep learning, scikit-learn",Machine Learning,Beginner,4.5
Deep Learning Course,University of Michigan,"tensorflow, python, deep learning, model deployment",Machine Learning,Intermediate,4.6
