title,summary,n_enrolled,course_type,institution,instructors,Level,subject,language,subtitles,course_effort,course_length,price,course_description,course_syllabus,course_url
Data Analytics,A beginner path into Data Analysis.,58314,Self-paced,MITx,Course Staff,Introductory,Data Analysis & Statistics,English,English,3–13 hours per week,4 Weeks,Free (Audit),"Data Analytics for data analysis. Build practical, job-ready skills in excel, sql, data visualization, tableau. Designed for beginner learners aiming for a Data Analysis role.","Module 1: Foundations of Data Analytics | Module 2: Core tools (excel, tableau) | Module 3: Hands-on Data Analytics project | Module 4: Beginner techniques and best practices | Module 5: Career path toward Data Analysis",https://www.edx.org/course/data-analytics-beginner
Data Analytics,A intermediate path into Data Analysis.,25312,Self-paced,MITx,Course Staff,Intermediate,Data Analysis & Statistics,English,English,5–9 hours per week,9 Weeks,$49,"Data Analytics for data analysis. Build practical, job-ready skills in pandas, excel, power bi, statistics. Designed for intermediate learners aiming for a Data Analysis role.","Module 1: Foundations of Data Analytics | Module 2: Core tools (pandas, statistics) | Module 3: Hands-on Data Analytics project | Module 4: Intermediate techniques and best practices | Module 5: Career path toward Data Analysis",https://www.edx.org/course/data-analytics-intermediate
Data Analytics,A advanced path into Data Analysis.,185699,Self-paced,Microsoft,Course Staff,Advanced,Data Analysis & Statistics,English,English,2–9 hours per week,7 Weeks,$49,"Data Analytics for data analysis. Build practical, job-ready skills in statistics, pandas, sql, power bi. Designed for advanced learners aiming for a Data Analysis role.","Module 1: Foundations of Data Analytics | Module 2: Core tools (statistics, power bi) | Module 3: Hands-on Data Analytics project | Module 4: Advanced techniques and best practices | Module 5: Career path toward Data Analysis",https://www.edx.org/course/data-analytics-advanced
SQL for Analysts,A beginner path into Data Analysis.,141021,Self-paced,IBM,Course Staff,Introductory,Data Analysis & Statistics,English,English,7–10 hours per week,6 Weeks,$99,"SQL for Analysts for data analysis. Build practical, job-ready skills in excel, pandas, reporting, sql. Designed for beginner learners aiming for a Data Analysis role.","Module 1: Foundations of SQL for Analysts | Module 2: Core tools (excel, sql) | Module 3: Hands-on SQL for Analysts project | Module 4: Beginner techniques and best practices | Module 5: Career path toward Data Analysis",https://www.edx.org/course/sql-for-analysts-beginner
SQL for Analysts,A intermediate path into Data Analysis.,56738,Self-paced,BerkeleyX,Course Staff,Intermediate,Data Analysis & Statistics,English,English,7–12 hours per week,10 Weeks,$99,"SQL for Analysts for data analysis. Build practical, job-ready skills in pandas, tableau, data visualization, statistics. Designed for intermediate learners aiming for a Data Analysis role.","Module 1: Foundations of SQL for Analysts | Module 2: Core tools (pandas, statistics) | Module 3: Hands-on SQL for Analysts project | Module 4: Intermediate techniques and best practices | Module 5: Career path toward Data Analysis",https://www.edx.org/course/sql-for-analysts-intermediate
SQL for Analysts,A advanced path into Data Analysis.,24831,Self-paced,DelftX,Course Staff,Advanced,Data Analysis & Statistics,English,English,8–9 hours per week,5 Weeks,Free (Audit),"SQL for Analysts for data analysis. Build practical, job-ready skills in tableau, reporting, excel, data visualization. Designed for advanced learners aiming for a Data Analysis role.","Module 1: Foundations of SQL for Analysts | Module 2: Core tools (tableau, data visualization) | Module 3: Hands-on SQL for Analysts project | Module 4: Advanced techniques and best practices | Module 5: Career path toward Data Analysis",https://www.edx.org/course/sql-for-analysts-advanced
Business Intelligence,A beginner path into Data Analysis.,169024,Self-paced,GTx,Course Staff,Introductory,Data Analysis & Statistics,English,English,4–9 hours per week,8 Weeks,$99,"Business Intelligence for data analysis. Build practical, job-ready skills in tableau, pandas, data visualization, power bi. Designed for beginner learners aiming for a Data Analysis role.","Module 1: Foundations of Business Intelligence | Module 2: Core tools (tableau, power bi) | Module 3: Hands-on Business Intelligence project | Module 4: Beginner techniques and best practices | Module 5: Career path toward Data Analysis",https://www.edx.org/course/business-intelligence-beginner
Business Intelligence,A intermediate path into Data Analysis.,142394,Self-paced,IBM,Course Staff,Intermediate,Data Analysis & Statistics,English,English,8–13 hours per week,4 Weeks,$49,"Business Intelligence for data analysis. Build practical, job-ready skills in tableau, power bi, sql, reporting. Designed for intermediate learners aiming for a Data Analysis role.","Module 1: Foundations of Business Intelligence | Module 2: Core tools (tableau, reporting) | Module 3: Hands-on Business Intelligence project | Module 4: Intermediate techniques and best practices | Module 5: Career path toward Data Analysis",https://www.edx.org/course/business-intelligence-intermediate
Business Intelligence,A advanced path into Data Analysis.,173949,Self-paced,IBM,Course Staff,Advanced,Data Analysis & Statistics,English,English,5–13 hours per week,6 Weeks,$49,"Business Intelligence for data analysis. Build practical, job-ready skills in reporting, sql, pandas, tableau. Designed for advanced learners aiming for a Data Analysis role.","Module 1: Foundations of Business Intelligence | Module 2: Core tools (reporting, tableau) | Module 3: Hands-on Business Intelligence project | Module 4: Advanced techniques and best practices | Module 5: Career path toward Data Analysis",https://www.edx.org/course/business-intelligence-advanced
Data Visualization,A beginner path into Data Analysis.,6514,Self-paced,BerkeleyX,Course Staff,Introductory,Data Analysis & Statistics,English,English,6–13 hours per week,7 Weeks,Free (Audit),"Data Visualization for data analysis. Build practical, job-ready skills in pandas, excel, statistics, reporting. Designed for beginner learners aiming for a Data Analysis role.","Module 1: Foundations of Data Visualization | Module 2: Core tools (pandas, reporting) | Module 3: Hands-on Data Visualization project | Module 4: Beginner techniques and best practices | Module 5: Career path toward Data Analysis",https://www.edx.org/course/data-visualization-beginner
Data Visualization,A intermediate path into Data Analysis.,190622,Self-paced,IBM,Course Staff,Intermediate,Data Analysis & Statistics,English,English,6–13 hours per week,11 Weeks,Free (Audit),"Data Visualization for data analysis. Build practical, job-ready skills in sql, reporting, data visualization, pandas. Designed for intermediate learners aiming for a Data Analysis role.","Module 1: Foundations of Data Visualization | Module 2: Core tools (sql, pandas) | Module 3: Hands-on Data Visualization project | Module 4: Intermediate techniques and best practices | Module 5: Career path toward Data Analysis",https://www.edx.org/course/data-visualization-intermediate
Data Visualization,A advanced path into Data Analysis.,106544,Self-paced,HarvardX,Course Staff,Advanced,Data Analysis & Statistics,English,English,7–11 hours per week,5 Weeks,Free (Audit),"Data Visualization for data analysis. Build practical, job-ready skills in reporting, pandas, power bi, excel. Designed for advanced learners aiming for a Data Analysis role.","Module 1: Foundations of Data Visualization | Module 2: Core tools (reporting, excel) | Module 3: Hands-on Data Visualization project | Module 4: Advanced techniques and best practices | Module 5: Career path toward Data Analysis",https://www.edx.org/course/data-visualization-advanced
Spreadsheet Analytics,A beginner path into Data Analysis.,14261,Self-paced,MITx,Course Staff,Introductory,Data Analysis & Statistics,English,English,7–13 hours per week,4 Weeks,Free,"Spreadsheet Analytics for data analysis. Build practical, job-ready skills in power bi, excel, statistics, reporting. Designed for beginner learners aiming for a Data Analysis role.","Module 1: Foundations of Spreadsheet Analytics | Module 2: Core tools (power bi, reporting) | Module 3: Hands-on Spreadsheet Analytics project | Module 4: Beginner techniques and best practices | Module 5: Career path toward Data Analysis",https://www.edx.org/course/spreadsheet-analytics-beginner
